id,transactionDate,merchant,transactionAmountinCents,issuerId,userId,transactionStatus
1,"{""$date"":""2022-05-12T10:42:20.000Z""}",Scion,8432,30,dce4f424-1b58-4bcb-b722-e61194081a6c,APPROVED
2,"{""$date"":""2023-03-30T04:54:36.000Z""}",Rambler,1926,9,44448ad8-3b2e-43af-b3b8-8ba49b2637c9,SETTLED
3,"{""$date"":""2023-04-08T10:16:17.000Z""}",Mercedes-Benz,3017,12,6f733f54-7d10-4680-871f-a7324d92e681,APPROVED
4,"{""$date"":""2023-07-04T09:21:31.000Z""}",GMC,2866,28,b4c2f80c-0bae-4cbe-ab18-d28361c50be1,SETTLED
5,"{""$date"":""2023-03-28T23:53:53.000Z""}",Buick,5934,20,b582a67f-77bd-412d-8a0a-eae7a3a4a7b4,APPROVED
6,"{""$date"":""2022-10-12T18:35:33.000Z""}",Toyota,4151,27,1683fa14-bbc8-4def-937e-9aeddecd2e79,APPROVED
7,"{""$date"":""2022-05-22T09:21:15.000Z""}",Lincoln,2161,22,6164ffbb-279a-47cb-b52e-44232191a757,APPROVED
8,"{""$date"":""2022-08-06T17:41:28.000Z""}",Toyota,2741,24,20fef8f0-07e4-4111-8e12-0d26971df2f3,APPROVED
9,"{""$date"":""2023-04-13T14:03:10.000Z""}",Toyota,7473,9,ec3b5f3d-25db-4c3f-a302-b742d85b16a0,APPROVED
10,"{""$date"":""2022-07-22T16:02:14.000Z""}",Lincoln,1903,13,825bdf81-002d-4f1c-8722-6bbdb7ba9d27,APPROVED
11,"{""$date"":""2022-05-15T22:34:14.000Z""}",Pontiac,9176,26,cb37315a-f8c7-4687-aba0-f7f21bd4fcd2,SETTLED
12,"{""$date"":""2022-09-11T06:18:24.000Z""}",Lincoln,2166,21,181604cd-e029-40fe-8fc6-a745b2dc880b,APPROVED
13,"{""$date"":""2022-08-26T02:40:00.000Z""}",Toyota,-7747,28,75d929b9-1cb7-43e3-9596-edc4863e64bf,APPROVED
14,"{""$date"":""2022-09-29T19:08:47.000Z""}",Volkswagen,4979,5,eb7b1650-2380-42b0-9507-b3a9a33b1e79,APPROVED
15,"{""$date"":""2022-09-21T21:21:16.000Z""}",Mitsubishi,8857,11,e1940ade-8297-4afa-96ab-4505d52595d9,SETTLED
16,"{""$date"":""2023-07-06T12:45:14.000Z""}",Audi,9192,17,022195d2-2b78-4434-93da-f36d7e176418,APPROVED
17,"{""$date"":""2022-11-28T07:36:09.000Z""}",Audi,1099,3,644f5fe0-73ea-44ac-9f7d-049f02734207,SETTLED
18,"{""$date"":""2022-08-27T23:38:50.000Z""}",Aston Martin,2469,2,4ac1f732-9e32-450b-a5c0-1af5f77dacb2,APPROVED
19,"{""$date"":""2022-06-02T22:51:11.000Z""}",Toyota,7827,3,e439b720-ca0a-4880-9e3b-a3cc01983f09,SETTLED
20,"{""$date"":""2022-06-05T07:06:56.000Z""}",Infiniti,4127,11,fc2f7b5b-62c4-4e4f-9e15-4775260f435c,APPROVED
21,"{""$date"":""2022-07-19T03:36:33.000Z""}",Volvo,6509,9,bd72e1d5-793b-4877-9050-dd4c68861d87,APPROVED
